DATE|APPLICATION NAME|ATTEMPT|FAILURE|SUCCESS|COUNT OF CONSENT PENDING|COUNT OF CONSENT SUCCESS|UNIQUE MSISDN|UNIQUE CONSENT PENDING MSISDN|UNIQUE CONSENT SUCCESS MSISDN|CONSENT SUCCSS PERCENTAGE
2019-10-31|FrieghtTiger|148248|4681|143567|142177|1390|4737|3564|1173|24.76250791640278657378
2019-10-31|Intugine Technologies|5284|3058|2226|312|1914|295|26|269|91.18644067796610169491
2019-10-31|Elixia_Tech|31704|309|31395|31276|119|304|216|88|28.94736842105263157894
2019-10-31|QTS|8|1|7|1|6|7|1|6|85.71428571428571428571
2019-10-31|Algomatix|0|0|0|0|0|0|0|0|1
2019-10-31|GLASSWING|31|0|31|29|2|7|5|2|28.57142857142857142857
2019-10-31|Cargo|79352|2446|76906|66958|9949|2431|730|1701|69.97120526532291238173
2019-10-31|United_Translogix|305|51|254|250|4|17|13|4|23.52941176470588235294
2019-10-31|FarEyehybasicdemo|5|3|2|2|0|1|1|0|0
2019-10-31|ITG|303|34|269|56|214|202|29|173|85.64356435643564356435
2019-10-31|QUICK_DIGITAL_DEMO|0|0|0|0|0|0|0|0|1
2019-10-31|Caramel|0|0|0|0|0|0|0|0|1
2019-10-31|Intelliplanners|67|21|46|42|4|12|8|4|33.33333333333333333333
2019-10-31|KrishnasDigital|0|0|0|0|0|0|0|0|1
2019-10-31|TruckSuvidha|0|0|0|0|0|0|0|0|1
2019-10-31|GTechDemo|4|0|4|4|0|4|4|0|0|
2019-10-31|Pando|6|4|2|2|0|2|2|0|0|
